,HotelName,Address,Originalprice,Amountpayable,Discount,Facilities,Ratings,Reviews,Roomquality,Location
0,OYO Home 77978 Peaceful Stay Keshav Nagar,"Mundhwa, Pune·       9.8 km",3964.0,1110.0,72.0, Parking facility  Private entrance  Elevator  + 9 more,3.4,1905.0,Fair,pune
1,OYO 12151 The Orchid Guest House,"Near Laxmi Mata Mandir, Pune·       5.5 km",4202.0,1177.0,71.0, Hair Dryer  Parking facility  Free Wi-Fi  + 11 more,3.1,233.0,Fair,pune
2,Flagship 11545 Hotel Gargi Executive,"On main street, Near Revenue Colony, Shivaji Nagar, Pune·       1.1 km",5965.0,1670.0,72.0, Parking facility  Free Wi-Fi  Power backup  + 10 more,2.9,799.0,Fair,pune
3,Townhouse OAK  The White Castle,"Haveli, Pune·       7.3 km",4534.0,1270.0,71.0, Reception  Caretaker  Power backup  + 24 more,3.3,1128.0,Fair,pune
4,OYO 40836 The Guest House,"Near Vadgaon Khurd, Sinhagad Road, Pune·       8.4 km",1947.0,453.0,76.0, Parking facility  Reception  Free Wi-Fi  + 11 more,3.1,289.0,Fair,pune
5,OYO 11499 Hotel Padma Krishna,"Barne Road, Pune·       0.8 km",3674.5,1063.0,71.0, Power backup  AC  TV  + 28 more,3.3,2051.0,Fair,pune
6,OYO 17036 Rk's Regency,"Near Dhayari Phata, Wadgaon Budruk, Pune·       8.1 km",3674.5,1063.0,71.0, Reception  Free Wi-Fi  Power backup  + 15 more,4.6,3635.0,Excellent,pune
7,Flagship 14929 River View,"Deccan, Pune·       1.4 km",3674.5,1063.0,71.0, AC  TV ,4.1,698.0,Very Good,pune
8,Flagship 70715 Sunshine Inn,"Station Road, Pune·       1.3 km",3674.5,1063.0,71.0, Private entrance  Parking facility  Reception  + 10 more,3.7,1890.0,Good,pune
9,OYO Home 78029 Saraswati Niwas Vadgaon Budruk,"Vadgaon Budruk, Pune·       6.5 km",3674.5,1063.0,71.0, Free Wi-Fi  AC  TV  + 3 more,3.8,1270.0,Good,pune
10,Townhouse OAK Hotel Golden Emerald,"Opposite Suyog Center (Salisbury Park), Swargate, Pune·       3.3 km",3674.5,1063.0,71.0, Reception  Free Wi-Fi  AC  + 8 more,3.9,1089.0,Good,pune
11,Collection O 11693 Hotel Sunshine,"Near New White House, Koregaon Park,Pune·       4.6 km",3674.5,1063.0,71.0, Parking facility  Free Wi-Fi  Geyser  + 8 more,4.1,1689.0,Very Good,pune
13,OYO 10678 Hotel Nandanvan,"Near Market Yard Road, Gultekdi, Pune·       3.5 km",3674.5,1063.0,71.0, Elevator  Free Wi-Fi  Power backup  + 8 more,3.0,566.0,Fair,pune
15,Flagship 74478 Sbk Icon,"Near Joshi Wadewala, Katraj Bypass, Pune·       7.5 km",3674.5,1063.0,71.0, Parking facility  Reception  Free Wi-Fi  + 8 more,3.5,1156.0,Good,pune
16,OYO SilverKey 75060 Near Arup Hospital,"Near Tempo Chowk, Vadgaon Sheri, Pune·       7.6 km",3674.5,1063.0,71.0, Reception  Free Wi-Fi  Bedside Table / Desk  + 14 more,3.2,3270.0,Fair,pune
